trialNumber fingerIndex targetForce tolerance upper lower deadline reactingtime result
101 3 2 0.8 2.2248 0 1.1124 0.8398438 1
102 3 2 0.8 1.374926 0 0.6874631 0.6399536 1
103 1 2 0.8 1.374926 0 0.6874631 0.6874631 0
104 2 2 0.8 1.374926 0.5252218 0.950074 0.6400604 1
105 2 2 0.8 1.374926 0.5252218 0.950074 0.6930847 1
106 3 2 0.8 1.374926 0.5252218 0.950074 0.950074 0
107 2 2 0.8 1.374926 0.8498089 1.112368 0.653183 1
108 2 2 0.8 1.374926 0.8498089 1.112368 0.6398926 1
109 1 2 0.8 1.374926 0.8498089 1.112368 0.83992 1
110 3 3 0.5 3.6 0 1.8 1.013351 1
111 0 3 0.5 3.6 0 1.8 0.8934631 1
112 3 3 0.5 3.6 0 1.8 0.9332733 1
113 1 3 0.5 2.2248 0 1.1124 1.053131 1
114 0 3 0.5 2.2248 0 1.1124 0.7729797 1
115 0 3 0.5 2.2248 0 1.1124 1.1124 0
116 0 3 0.5 2.2248 0.8498736 1.537337 0.6620636 1
117 2 3 0.5 2.2248 0.8498736 1.537337 1.253143 1
118 3 3 0.5 2.2248 0.8498736 1.537337 1.200226 1
119 2 3 0.5 1.699578 0.8498736 1.274726 0.9997864 1
120 1 3 0.5 1.699578 0.8498736 1.274726 0.9333954 1
121 2 3 0.5 1.699578 0.8498736 1.274726 0.8934937 1
122 1 3 0.5 1.374991 0.8498736 1.112432 1.000092 1
123 3 3 0.5 1.374991 0.8498736 1.112432 1.106827 1
124 1 3 0.5 1.374991 0.8498736 1.112432 0.8000031 1
125 1 3 0.6 3.6 0 1.8 1.000198 1
126 2 3 0.6 3.6 0 1.8 0.9067841 1
127 0 3 0.6 3.6 0 1.8 1.040222 1
128 1 3 0.6 2.2248 0 1.1124 0.8233643 1
129 3 3 0.6 2.2248 0 1.1124 0.8933258 1
130 0 3 0.6 2.2248 0 1.1124 0.8401489 1
131 3 3 0.6 1.374926 0 0.6874631 0.6874631 0
132 0 3 0.6 1.374926 0.5252218 0.950074 0.950074 0
133 1 3 0.6 1.374926 0.8498089 1.112368 0.9293671 1
134 2 3 0.6 1.374926 0.8498089 1.112368 0.5736389 1
135 1 3 0.6 1.374926 0.8498089 1.112368 0.8533325 1
136 1 3 0.7 3.6 0 1.8 0.9333038 1
137 0 3 0.7 3.6 0 1.8 0.8135681 1
138 1 3 0.7 3.6 0 1.8 0.6932678 1
139 1 3 0.7 2.2248 0 1.1124 0.9334412 1
140 3 3 0.7 2.2248 0 1.1124 0.9335938 1
141 1 3 0.7 2.2248 0 1.1124 0.6136475 1
142 0 3 0.7 1.374926 0 0.6874631 0.6874631 0
143 3 3 0.7 1.374926 0.5252218 0.950074 0.950074 0
144 3 3 0.7 1.374926 0.8498089 1.112368 0.9159546 1
145 2 3 0.7 1.374926 0.8498089 1.112368 0.8935699 1
146 1 3 0.7 1.374926 0.8498089 1.112368 0.733139 1
147 1 3 0.8 3.6 0 1.8 0.8536377 1
148 2 3 0.8 3.6 0 1.8 0.8933258 1
149 2 3 0.8 3.6 0 1.8 0.8001862 1
150 2 3 0.8 2.2248 0 1.1124 0.7601929 1
151 1 3 0.8 2.2248 0 1.1124 0.8399353 1
152 1 3 0.8 2.2248 0 1.1124 0.8403168 1
153 1 3 0.8 1.374926 0 0.6874631 0.6874631 0
